----------------------------------------------------------------------------------------------------
| Vardas               | Pavarde              | ND1 | ND2 | ND3 | ND4 | Egzaminas | Galutinis (Vid)      |
----------------------------------------------------------------------------------------------------
| Vardas1              | Pavarde1             | 2    | 8    | 5    | 1    | 7        | 5.80                 |
| Vardas2              | Pavarde2             | 5    | 9    | 9    | 3    | 0        | 2.60                 |
| Vardas3              | Pavarde3             | 6    | 6    | 2    | 8    | 6        | 5.80                 |
| Vardas4              | Pavarde4             | 2    | 6    | 3    | 8    | 2        | 3.10                 |
| Vardas5              | Pavarde5             | 2    | 5    | 3    | 4    | 6        | 5.00                 |
| Vardas6              | Pavarde6             | 3    | 2    | 7    | 9    | 7        | 6.30                 |
| Vardas7              | Pavarde7             | 8    | 7    | 2    | 9    | 10       | 8.60                 |
| Vardas8              | Pavarde8             | 3    | 8    | 10   | 6    | 5        | 5.70                 |
| Vardas9              | Pavarde9             | 4    | 2    | 3    | 4    | 7        | 5.50                 |
| Vardas10             | Pavarde10            | 5    | 2    | 2    | 4    | 4        | 3.70                 |
| Vardas11             | Pavarde11            | 8    | 5    | 3    | 8    | 6        | 6.00                 |
| Vardas12             | Pavarde12            | 10   | 4    | 2    | 10   | 8        | 7.40                 |
| Vardas13             | Pavarde13            | 7    | 6    | 1    | 3    | 2        | 2.90                 |
| Vardas14             | Pavarde14            | 7    | 1    | 3    | 5    | 10       | 7.60                 |
| Vardas15             | Pavarde15            | 7    | 6    | 1    | 10   | 5        | 5.40                 |
| Vardas16             | Pavarde16            | 1    | 7    | 2    | 4    | 6        | 5.00                 |
| Vardas17             | Pavarde17            | 10   | 4    | 5    | 5    | 1        | 3.00                 |
| Vardas18             | Pavarde18            | 1    | 7    | 7    | 2    | 7        | 5.90                 |
| Vardas19             | Pavarde19            | 5    | 10   | 7    | 4    | 4        | 5.00                 |
| Vardas20             | Pavarde20            | 9    | 9    | 3    | 10   | 8        | 7.90                 |
| Vardas21             | Pavarde21            | 4    | 6    | 10   | 9    | 0        | 2.90                 |
| Vardas22             | Pavarde22            | 1    | 8    | 7    | 4    | 1        | 2.60                 |
| Vardas23             | Pavarde23            | 2    | 6    | 5    | 3    | 0        | 1.60                 |
| Vardas24             | Pavarde24            | 10   | 8    | 4    | 8    | 1        | 3.60                 |
| Vardas25             | Pavarde25            | 7    | 1    | 2    | 7    | 3        | 3.50                 |
| Vardas26             | Pavarde26            | 8    | 6    | 5    | 2    | 7        | 6.30                 |
| Vardas27             | Pavarde27            | 1    | 1    | 2    | 5    | 7        | 5.10                 |
| Vardas28             | Pavarde28            | 1    | 8    | 2    | 8    | 7        | 6.10                 |
| Vardas29             | Pavarde29            | 8    | 8    | 4    | 4    | 7        | 6.60                 |
| Vardas30             | Pavarde30            | 10   | 10   | 9    | 2    | 9        | 8.50                 |
| Vardas31             | Pavarde31            | 3    | 7    | 7    | 1    | 1        | 2.40                 |
| Vardas32             | Pavarde32            | 9    | 1    | 2    | 3    | 5        | 4.50                 |
| Vardas33             | Pavarde33            | 1    | 10   | 5    | 8    | 10       | 8.40                 |
| Vardas34             | Pavarde34            | 4    | 6    | 2    | 3    | 7        | 5.70                 |
| Vardas35             | Pavarde35            | 2    | 7    | 5    | 1    | 9        | 6.90                 |
| Vardas36             | Pavarde36            | 2    | 9    | 10   | 9    | 9        | 8.40                 |
| Vardas37             | Pavarde37            | 2    | 5    | 4    | 10   | 7        | 6.30                 |
| Vardas38             | Pavarde38            | 9    | 1    | 9    | 8    | 5        | 5.70                 |
| Vardas39             | Pavarde39            | 9    | 4    | 9    | 4    | 9        | 8.00                 |
| Vardas40             | Pavarde40            | 2    | 1    | 8    | 4    | 10       | 7.50                 |
| Vardas41             | Pavarde41            | 10   | 7    | 6    | 2    | 8        | 7.30                 |
| Vardas42             | Pavarde42            | 10   | 10   | 7    | 9    | 9        | 9.00                 |
| Vardas43             | Pavarde43            | 5    | 9    | 5    | 10   | 7        | 7.10                 |
| Vardas44             | Pavarde44            | 3    | 6    | 6    | 4    | 10       | 7.90                 |
| Vardas45             | Pavarde45            | 4    | 8    | 5    | 4    | 1        | 2.70                 |
| Vardas46             | Pavarde46            | 1    | 9    | 9    | 1    | 7        | 6.20                 |
| Vardas47             | Pavarde47            | 9    | 2    | 10   | 9    | 3        | 4.80                 |
| Vardas48             | Pavarde48            | 8    | 3    | 3    | 9    | 5        | 5.30                 |
| Vardas49             | Pavarde49            | 9    | 10   | 1    | 8    | 5        | 5.80                 |
| Vardas50             | Pavarde50            | 2    | 6    | 9    | 7    | 5        | 5.40                 |
